id,email,first_name,last_name,phone,dob,default_billing,default_shipping,group,gender,status,created_at
16,anika.hull@otenet.gr.test,Anika,Hull,+1-280-663-1573,1982-10-27,4,5,VIP,"{'last_name': 'Chapman', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
17,haakon.ferrari@citromail.hu.test,Haakon,Ferrari,+1-479-318-5388,1956-04-25,1,3,VIP,"{'last_name': 'Davis', 'gender': 'F'}",Active,2025-12-12 16:43:11
18,celestebest@gmx.ch.test,Celeste,Best,+1-876-506-7959,1982-01-24,5,4,Retailer,"{'last_name': 'Lima', 'gender': 'M'}",Active,2025-12-12 16:43:11
19,lorenzbarrera@hotmail.sg.test,Lorenz,Barrera,+1-935-981-1092,1972-10-17,5,1,General,"{'last_name': 'Callahan', 'gender': 'M'}",Active,2025-12-12 16:43:11
20,laylamonroe@live.fr.test,Layla,Monroe,+1-730-593-6770,1968-12-26,3,5,General,"{'last_name': 'Reed', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
21,rkoch@yandex.com.tr.test,Ronan,Koch,+1-996-299-2799,2005-01-23,5,3,VIP,"{'last_name': 'Reese', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
22,anaya.reynolds@wp.pl.test,Anaya,Reynolds,+1-940-492-4970,1988-02-10,4,5,Retailer,"{'last_name': 'Bailey', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
23,savannah790@bell.net.test,Savannah,Medina,+1-622-768-8075,1951-10-23,5,3,VIP,"{'last_name': 'Rice', 'gender': 'M'}",Active,2025-12-12 16:43:11
24,ezra828@virginmedia.com.test,Ezra,Wood,+1-936-607-2267,2000-11-08,1,5,General,"{'last_name': 'Riggs', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
25,liana.noel@hotmail.se.test,Liana,Noel,+1-739-309-1285,1953-08-01,3,2,Wholesale,"{'last_name': 'Koch', 'gender': 'M'}",Active,2025-12-12 16:43:11
26,obaker@post.sk.test,Ole,Baker,+1-287-490-7737,1976-02-17,3,1,VIP,"{'last_name': 'Rossi', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
27,alessia.maxwell@gmail.my.test,Alessia,Maxwell,+1-804-247-9209,1994-07-09,4,5,Wholesale,"{'last_name': 'Yates', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
28,milakennedy@live.com.test,Mila,Kennedy,+1-613-526-9747,1984-09-06,4,5,VIP,"{'last_name': 'Riggs', 'gender': 'M'}",Active,2025-12-12 16:43:11
29,oskar.reeves@sympatico.ca.test,Oskar,Reeves,+1-816-699-6965,2004-12-04,5,1,Wholesale,"{'last_name': 'Mejia', 'gender': 'F'}",Active,2025-12-12 16:43:11
30,ariella.schulz@hotmail.th.test,Ariella,Schulz,+1-452-339-3105,1969-06-10,3,1,Wholesale,"{'last_name': 'Clarke', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
31,peter.kolar@orange.fr.test,Peter,Kolar,+1-231-861-7970,1952-08-04,5,3,Retailer,"{'last_name': 'Mcpherson', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
32,ariella.snyder@ziggo.nl.test,Ariella,Snyder,+1-635-500-6975,1997-11-13,3,2,VIP,"{'last_name': 'Monroe', 'gender': 'M'}",Active,2025-12-12 16:43:11
33,paola686@free.fr.test,Paola,Moody,+1-559-518-4630,1989-08-17,4,4,General,"{'last_name': 'Alston', 'gender': 'M'}",Active,2025-12-12 16:43:11
34,rvincent@zoznam.sk.test,Raul,Vincent,+1-996-822-9747,1955-02-01,4,1,Retailer,"{'last_name': 'Ramos', 'gender': 'F'}",Active,2025-12-12 16:43:11
35,robert.koch@yandex.com.tr.test,Robert,Koch,+1-358-992-5944,1982-05-02,1,1,VIP,"{'last_name': 'Benjamin', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
36,rowan.dahl@gmail.gr.test,Rowan,Dahl,+1-924-242-2655,1963-09-28,2,5,Retailer,"{'last_name': 'Tate', 'gender': 'M'}",Active,2025-12-12 16:43:11
37,seth807@hotmail.hu.test,Seth,Pettersson,+1-959-991-3344,1995-11-27,5,3,Wholesale,"{'last_name': 'Mcleod', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
38,iwade@wp.pl.test,Ivy,Wade,+1-413-991-5110,1960-04-28,5,1,General,"{'last_name': 'Simon', 'gender': 'F'}",Active,2025-12-12 16:43:11
39,gunner.james@126.com.test,Gunner,James,+1-803-564-8511,1953-09-14,4,5,General,"{'last_name': 'Pennington', 'gender': 'M'}",Active,2025-12-12 16:43:11
40,mthomas@inbox.ru.test,Muhammad,Thomas,+1-774-380-5857,1969-08-21,5,1,VIP,"{'last_name': 'Harrison', 'gender': 'M'}",Active,2025-12-12 16:43:11
41,christopher318@live.com.test,Christopher,Gallegos,+1-776-906-6099,1991-06-10,5,4,VIP,"{'last_name': 'Gross', 'gender': 'F'}",Active,2025-12-12 16:43:11
42,greta8@ono.com.test,Greta,Masson,+1-247-363-7006,1979-06-14,5,5,VIP,"{'last_name': 'Gillespie', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
43,georginamorales@walla.com.test,Georgina,Morales,+1-695-282-6465,1972-07-08,5,4,General,"{'last_name': 'O’Shea', 'gender': 'M'}",Active,2025-12-12 16:43:11
44,jhavlicek@bigpond.com.test,Jared,Havlicek,+1-672-437-9394,1968-09-10,2,1,Wholesale,"{'last_name': 'Conley', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
45,ronanlombardi@outlook.kw.test,Ronan,Lombardi,+1-223-796-7142,1968-02-05,1,4,General,"{'last_name': 'Gallegos', 'gender': 'M'}",Active,2025-12-12 16:43:11
46,johnlynch@blueyonder.co.uk.test,John,Lynch,+1-481-861-9990,1974-04-29,5,3,General,"{'last_name': 'Pruitt', 'gender': 'F'}",Active,2025-12-12 16:43:11
47,manuel.walton@centrum.sk.test,Manuel,Walton,+1-338-271-3597,1993-10-16,3,2,General,"{'last_name': 'Fischer', 'gender': 'M'}",Active,2025-12-12 16:43:11
48,kai.galloway@outlook.com.test,Kai,Galloway,+1-691-264-8190,1960-01-20,1,5,VIP,"{'last_name': 'Perry', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
49,kali.shaffer@outlook.pk.test,Kali,Shaffer,+1-428-389-3237,1990-05-18,5,3,VIP,"{'last_name': 'Wood', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
50,plane@hotmail.co.il.test,Paxton,Lane,+1-917-759-3622,1962-02-09,4,1,VIP,"{'last_name': 'Gilliam', 'gender': 'M'}",Active,2025-12-12 16:43:11
51,ecooper@hushmail.com.test,Ethan,Cooper,+1-393-481-3792,1988-08-14,4,4,VIP,"{'last_name': 'Mccray', 'gender': 'M'}",Active,2025-12-12 16:43:11
52,connor929@eclipso.eu.test,Connor,Henson,+1-465-874-7014,1955-07-31,3,2,General,"{'last_name': 'O’Brien', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
53,emcleod@yahoo.com.test,Emmy,Mcleod,+1-558-716-3970,2005-09-29,4,3,Wholesale,"{'last_name': 'Frye', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
54,kendallquinn@outlook.com.br.test,Kendall,Quinn,+1-263-823-3814,1982-06-25,2,4,Wholesale,"{'last_name': 'Carvalho', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
55,eliascantu@zoznam.sk.test,Elias,Cantu,+1-521-783-5127,1959-03-29,1,4,Retailer,"{'last_name': 'Barta', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
56,kpotter@wanadoo.fr.test,Kason,Potter,+1-825-958-7938,1959-04-25,5,3,VIP,"{'last_name': 'Potter', 'gender': 'F'}",Active,2025-12-12 16:43:11
57,nathaniel923@outlook.com.tr.test,Nathaniel,Urbánek,+1-379-310-2377,1959-12-18,4,4,VIP,"{'last_name': 'Eliasen', 'gender': 'M'}",Active,2025-12-12 16:43:11
58,jaredwade@hotmail.be.test,Jared,Wade,+1-767-624-8879,1984-11-19,4,1,General,"{'last_name': 'Mendez', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
59,ramonmoran@hotmail.hu.test,Ramon,Moran,+1-481-621-8450,1961-07-07,2,3,VIP,"{'last_name': 'Browning', 'gender': 'M'}",Active,2025-12-12 16:43:11
60,alessandro235@libero.it.test,Alessandro,Walton,+1-253-899-9653,1960-07-30,1,3,Wholesale,"{'last_name': 'Everett', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
61,ianbuck@gmail.sg.test,Ian,Buck,+1-233-925-7714,1958-12-03,2,1,Retailer,"{'last_name': 'Flores', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
62,jules215@inbox.ru.test,Jules,Gamble,+1-724-630-6001,1998-11-16,5,3,General,"{'last_name': 'George', 'gender': 'F'}",Active,2025-12-12 16:43:11
63,dorian980@bk.ru.test,Dorian,Carroll,+1-748-951-8171,2000-05-08,4,3,VIP,"{'last_name': 'Atkinson', 'gender': 'F'}",Active,2025-12-12 16:43:11
64,ruby.austin@hotmail.com.au.test,Ruby,Austin,+1-274-700-4108,1982-04-09,5,4,Retailer,"{'last_name': 'Johansen', 'gender': 'M'}",Active,2025-12-12 16:43:11
65,ccolin@gmail.sa.test,Chase,Colin,+1-995-971-4947,1953-12-01,5,2,Retailer,"{'last_name': 'Warren', 'gender': 'F'}",Active,2025-12-12 16:43:11
66,megan215@gmx.com.test,Megan,De Luca,+1-491-505-8755,1952-05-07,3,1,General,"{'last_name': 'Whitney', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
67,maxoneal@mail.com.test,Max,Oneal,+1-900-879-8188,1973-12-09,2,2,VIP,"{'last_name': 'Leblanc', 'gender': 'F'}",Active,2025-12-12 16:43:11
68,ophelia566@hushmail.com.test,Ophelia,Navarro,+1-555-847-5471,1960-04-20,2,5,General,"{'last_name': 'Moreau', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
69,viviana.kennedy@daum.net.test,Viviana,Kennedy,+1-458-572-1235,1972-01-08,5,4,Wholesale,"{'last_name': 'Brady', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
70,amitchell@hotmail.vn.test,Asher,Mitchell,+1-652-863-1964,1961-02-14,3,3,Retailer,"{'last_name': 'Guzman', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
71,tmartinez@t-online.de.test,Trenton,Martinez,+1-930-533-5338,1954-05-14,4,4,Retailer,"{'last_name': 'Deleon', 'gender': 'M'}",Active,2025-12-12 16:43:11
72,pennybriggs@mailfence.com.test,Penny,Briggs,+1-339-832-2428,2005-11-06,2,4,General,"{'last_name': 'Hunt', 'gender': 'F'}",Active,2025-12-12 16:43:11
73,keeganwright@gmail.com.test,Keegan,Wright,+1-718-800-2948,1999-01-19,3,4,Wholesale,"{'last_name': 'Jones', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
74,aobrien@gmail.lk.test,Arya,Obrien,+1-844-579-1260,1973-03-22,1,3,Retailer,"{'last_name': 'Renaud', 'gender': 'M'}",Active,2025-12-12 16:43:11
75,mowen@hotmail.sa.test,Madelynn,Owen,+1-432-921-9318,1980-02-02,1,3,General,"{'last_name': 'Moody', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
76,lily.mosley@mail.com.test,Lily,Mosley,+1-867-217-3281,1954-04-21,3,1,Wholesale,"{'last_name': 'Saunders', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
77,yael768@bell.net.test,Yael,Finley,+1-468-984-6082,1982-03-09,1,4,VIP,"{'last_name': 'Sanchez', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
78,ocarter@sapo.pt.test,Odette,Carter,+1-460-670-7899,1967-09-23,5,3,Retailer,"{'last_name': 'Mosley', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
79,troymoody@netti.fi.test,Troy,Moody,+1-381-217-8997,1967-08-28,4,4,Wholesale,"{'last_name': 'Larson', 'gender': 'M'}",Active,2025-12-12 16:43:11
80,kobebarta@internode.on.net.test,Kobe,Barta,+1-373-469-3415,1992-08-26,3,5,VIP,"{'last_name': 'Schmidt', 'gender': 'M'}",Active,2025-12-12 16:43:11
81,oliviashort@post.cz.test,Olivia,Short,+1-699-929-9171,1993-01-09,4,4,Retailer,"{'last_name': 'Schneider', 'gender': 'M'}",Active,2025-12-12 16:43:11
82,gsmall@sfr.fr.test,Garrett,Small,+1-796-465-4152,1955-11-26,4,3,General,"{'last_name': 'Roach', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
83,elorade luca@mail.ee.test,Elora,De Luca,+1-462-718-1099,1950-11-04,3,3,Retailer,"{'last_name': 'Buchanan', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
84,pabloanderson@luukku.com.test,Pablo,Anderson,+1-859-776-4648,1980-03-01,1,3,Wholesale,"{'last_name': 'Weeks', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
85,maximus559@live.com.mx.test,Maximus,Reyes,+1-936-853-3826,1955-07-14,2,1,General,"{'last_name': 'Levy', 'gender': 'F'}",Active,2025-12-12 16:43:11
86,jaysongarcia@hotmail.my.test,Jayson,Garcia,+1-860-589-1333,1962-02-01,3,4,Retailer,"{'last_name': 'Keller', 'gender': 'M'}",Active,2025-12-12 16:43:11
87,go’connor@hotmail.co.nz.test,Guilherme,O’Connor,+1-715-711-3518,1996-07-06,1,5,General,"{'last_name': 'Wilson', 'gender': 'F'}",Active,2025-12-12 16:43:11
88,aaron707@live.com.mx.test,Aaron,Faulkner,+1-206-500-3646,1980-06-06,4,2,General,"{'last_name': 'Conti', 'gender': 'M'}",Active,2025-12-12 16:43:11
89,ewalton@icloud.fr.test,Emilia,Walton,+1-516-614-1729,1990-08-05,4,1,Wholesale,"{'last_name': 'Santos', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
90,eden870@volny.cz.test,Eden,Conley,+1-755-877-6870,2000-11-23,2,4,General,"{'last_name': 'Hays', 'gender': 'F'}",Active,2025-12-12 16:43:11
91,harperfarmer@bol.com.br.test,Harper,Farmer,+1-866-206-6078,1967-09-10,3,1,Retailer,"{'last_name': 'Campbell', 'gender': 'M'}",Active,2025-12-12 16:43:11
92,kennethmarín@hotmail.ca.test,Kenneth,Marín,+1-400-536-9676,1956-06-13,2,5,Wholesale,"{'last_name': 'Collins', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
93,maximusreed@hotmail.be.test,Maximus,Reed,+1-949-322-4324,1993-08-24,2,2,General,"{'last_name': 'Lopez', 'gender': 'F'}",Active,2025-12-12 16:43:11
94,heriksson@gmail.ro.test,Haakon,Eriksson,+1-334-264-8548,1953-06-26,5,1,VIP,"{'last_name': 'Larsen', 'gender': 'M'}",Active,2025-12-12 16:43:11
95,ivan.kennedy@hotmail.pl.test,Ivan,Kennedy,+1-301-596-3824,1972-08-16,2,5,Retailer,"{'last_name': 'Wise', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
96,paisley.sweet@me.com.test,Paisley,Sweet,+1-604-340-8308,1977-09-04,2,5,Retailer,"{'last_name': 'O’Connor', 'gender': 'M'}",Active,2025-12-12 16:43:11
97,kimberly.moody@tesco.net.test,Kimberly,Moody,+1-718-723-4879,1965-02-26,1,5,Wholesale,"{'last_name': 'Lloyd', 'gender': 'M'}",Active,2025-12-12 16:43:11
98,teagan.pearson@inbox.ru.test,Teagan,Pearson,+1-851-346-8262,1980-04-22,2,3,Wholesale,"{'last_name': 'Nielsen', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
99,violeta.day@laposte.net.test,Violeta,Day,+1-393-840-4011,1984-12-04,3,4,General,"{'last_name': 'Woods', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
100,myrawarner@live.fr.test,Myra,Warner,+1-751-548-4019,1970-03-04,4,1,General,"{'last_name': 'Oliveira', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
101,philip.brock@yahoo.com.test,Philip,Brock,+1-713-777-3102,1961-08-30,1,5,Wholesale,"{'last_name': 'Fleming', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
102,kensley.chase@hotmail.cl.test,Kensley,Chase,+1-369-692-7871,2003-08-08,3,2,Wholesale,"{'last_name': 'Renaud', 'gender': 'M'}",Active,2025-12-12 16:43:11
103,riggs.weaver@hot.ee.test,Riggs,Weaver,+1-761-515-2172,1957-05-24,3,5,VIP,"{'last_name': 'Mccoy', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
104,ograham@gmail.om.test,Olive,Graham,+1-494-404-1420,1967-03-06,4,2,VIP,"{'last_name': 'Conner', 'gender': 'F'}",Active,2025-12-12 16:43:11
105,srichter@gmail.ve.test,Sverre,Richter,+1-430-629-5804,1988-05-25,1,4,General,"{'last_name': 'Acosta', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
106,adamwalsh@libero.it.test,Adam,Walsh,+1-726-231-2058,1957-06-16,5,3,VIP,"{'last_name': 'Urbánek', 'gender': 'M'}",Active,2025-12-12 16:43:11
107,hankirwin@yahoo.co.uk.test,Hank,Irwin,+1-738-696-9183,1966-01-01,4,2,VIP,"{'last_name': 'Todd', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
108,dominiksantos@outlook.co.uk.test,Dominik,Santos,+1-877-346-7166,1998-05-01,5,5,General,"{'last_name': 'Pereira', 'gender': 'M'}",Active,2025-12-12 16:43:11
109,dfrost@saunalahti.fi.test,Derek,Frost,+1-656-729-8427,1987-12-19,5,3,VIP,"{'last_name': 'Madden', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
110,alvaro671@clix.pt.test,Alvaro,Valenzuela,+1-950-665-3993,1968-11-17,5,4,Retailer,"{'last_name': 'Foreman', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
111,axel221@globo.com.test,Axel,Stone,+1-755-941-3782,1959-12-20,1,5,General,"{'last_name': 'Hernandez', 'gender': 'F'}",Active,2025-12-12 16:43:11
112,greta.mack@hotmail.no.test,Greta,Mack,+1-818-877-9548,1962-02-26,1,2,Retailer,"{'last_name': 'Ellis', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
113,delilahrasmussen@rediffmailpro.com.test,Delilah,Rasmussen,+1-349-757-7636,1963-02-26,5,5,Wholesale,"{'last_name': 'Small', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
114,keirakubík@hotmail.tr.test,Keira,Kubík,+1-791-224-1777,1957-03-22,4,2,VIP,"{'last_name': 'Quintero', 'gender': 'M'}",Active,2025-12-12 16:43:11
115,oroach@fibertel.com.ar.test,Odin,Roach,+1-558-762-3350,1972-05-22,5,3,Retailer,"{'last_name': 'Cervantes', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
116,jensen787@gmail.gr.test,Jensen,Potter,+1-281-250-1196,1951-09-24,2,3,VIP,"{'last_name': 'Rowland', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
117,hankdudley@hotmail.mx.test,Hank,Dudley,+1-853-258-6348,1981-05-19,2,4,General,"{'last_name': 'Durand', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
118,evelyn.nolan@hanmail.net.test,Evelyn,Nolan,+1-736-649-9659,1952-05-01,3,4,Wholesale,"{'last_name': 'Ayers', 'gender': 'F'}",Active,2025-12-12 16:43:11
119,cristianhale@sina.com.test,Cristian,Hale,+1-774-319-1964,1970-07-06,2,4,VIP,"{'last_name': 'Forrest', 'gender': 'F'}",Active,2025-12-12 16:43:11
120,mateo.daniel@daum.net.test,Mateo,Daniel,+1-525-748-6685,1962-01-20,4,4,General,"{'last_name': 'Chapman', 'gender': 'F'}",Active,2025-12-12 16:43:11
121,emilcastillo@gmail.sa.test,Emil,Castillo,+1-433-904-8278,1969-02-06,4,4,VIP,"{'last_name': 'Barber', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
122,randy904@laposte.net.test,Randy,Pate,+1-471-572-7613,1995-11-03,5,3,General,"{'last_name': 'Mclaughlin', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
123,dahlia.sosa@outlook.ca.test,Dahlia,Sosa,+1-271-730-9225,1979-06-14,3,4,Wholesale,"{'last_name': 'Richardson', 'gender': 'M'}",Active,2025-12-12 16:43:11
124,quinn473@kpnmail.nl.test,Quinn,Hudson,+1-620-283-1096,1964-12-21,3,3,VIP,"{'last_name': 'Burnett', 'gender': 'F'}",Active,2025-12-12 16:43:11
125,jazminemoreau@tutanota.com.test,Jazmine,Moreau,+1-969-761-7157,1971-08-01,2,3,Retailer,"{'last_name': 'Morales', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
126,mariolamb@gmail.vn.test,Mario,Lamb,+1-882-234-4800,1971-08-02,5,2,Retailer,"{'last_name': 'Schwarz', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
127,claraschmid@alice.it.test,Clara,Schmid,+1-664-418-9148,1990-04-15,3,4,Retailer,"{'last_name': 'Johns', 'gender': 'M'}",Active,2025-12-12 16:43:11
128,rubybesson@tiscali.it.test,Ruby,Besson,+1-727-403-2847,1953-11-14,2,4,Retailer,"{'last_name': 'Sanders', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
129,rkey@kolumbus.com.test,Ronan,Key,+1-937-796-6914,1975-02-03,1,1,General,"{'last_name': 'Soto', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
130,jaspersimon@hubspot.com.test,Jasper,Simon,+1-923-839-7243,1954-11-28,4,3,General,"{'last_name': 'Bryson', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
131,apineda@azet.sk.test,Alessandro,Pineda,+1-282-370-9129,1955-10-26,2,3,Retailer,"{'last_name': 'Delgado', 'gender': 'M'}",Active,2025-12-12 16:43:11
132,gaelhartmann@indiatimes.com.test,Gael,Hartmann,+1-541-974-1046,2001-10-22,3,3,Retailer,"{'last_name': 'Whitaker', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
133,charlotte.drake@yahoo.com.test,Charlotte,Drake,+1-669-215-5842,1952-10-01,1,3,Wholesale,"{'last_name': 'Zamora', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
134,miguel.gallegos@bredband.net.test,Miguel,Gallegos,+1-402-360-4066,1958-11-03,4,5,Retailer,"{'last_name': 'Frye', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
135,pablofournier@live.ie.test,Pablo,Fournier,+1-612-668-9595,2004-10-16,2,2,VIP,"{'last_name': 'Beaumont', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
136,gianawinters@msn.com.test,Giana,Winters,+1-620-368-8649,1967-10-03,3,3,Wholesale,"{'last_name': 'Joseph', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
137,aschneider@msn.com.test,Alena,Schneider,+1-567-694-3693,1950-07-31,4,1,VIP,"{'last_name': 'Carter', 'gender': 'M'}",Active,2025-12-12 16:43:11
138,haakon.pierce@mail.ru.test,Haakon,Pierce,+1-205-493-3928,1953-09-04,5,5,Retailer,"{'last_name': 'Bush', 'gender': 'M'}",Active,2025-12-12 16:43:11
139,jazmindoyle@centrum.sk.test,Jazmin,Doyle,+1-379-416-4733,1963-07-04,4,1,Wholesale,"{'last_name': 'Hayden', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
140,adam379@terra.com.br.test,Adam,Luna,+1-785-962-4332,1964-10-25,2,4,Retailer,"{'last_name': 'Todd', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
141,umar.odonnell@outlook.ae.test,Umar,Odonnell,+1-833-825-5800,1966-05-31,3,1,General,"{'last_name': 'Potter', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
142,randy392@volny.cz.test,Randy,Gregory,+1-485-780-5457,1992-05-23,4,4,Retailer,"{'last_name': 'Alford', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
143,camden.snider@yandex.com.test,Camden,Snider,+1-629-369-7789,1974-06-18,3,4,General,"{'last_name': 'Mitchell', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
144,einar.deleon@outlook.kw.test,Einar,Deleon,+1-804-361-1998,1998-11-05,1,3,General,"{'last_name': 'Galloway', 'gender': 'M'}",Inactive,2025-12-12 16:43:11
145,asweet@uol.com.br.test,Archer,Sweet,+1-438-784-5049,2004-07-18,4,5,Retailer,"{'last_name': 'Harper', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
146,alaina129@gmail.lk.test,Alaina,Ferguson,+1-925-661-6495,1958-05-12,4,5,Retailer,"{'last_name': 'O’Sullivan', 'gender': 'M'}",Active,2025-12-12 16:43:11
147,elliott654@speedy.com.ar.test,Elliott,Sharp,+1-202-966-2265,1995-09-19,5,2,VIP,"{'last_name': 'Martin', 'gender': 'F'}",Inactive,2025-12-12 16:43:11
148,maciemcleod@telia.com.test,Macie,Mcleod,+1-840-376-2274,1986-05-23,2,3,General,"{'last_name': 'Edwards', 'gender': 'M'}",Active,2025-12-12 16:43:11
149,nwise@fibertel.com.ar.test,Nalani,Wise,+1-206-733-4901,1968-11-19,3,3,Wholesale,"{'last_name': 'Perry', 'gender': 'F'}",Active,2025-12-12 16:43:11
